tweet_id,name,tweet_date,standardized_location,airline,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence
570306133677760513,cairdin,2015-02-24 11:35:52,Unknown,Virgin America,neutral,1.0,0,0.0
570301130888122368,jnardino,2015-02-24 11:15:59,Unknown,Virgin America,positive,0.35,0,0.0
570301083672813571,yvonnalynn,2015-02-24 11:15:48,Lets Play,Virgin America,neutral,0.68,0,0.0
570301031407624196,jnardino,2015-02-24 11:15:36,Unknown,Virgin America,negative,1.0,6,0.7
570300817074462722,jnardino,2015-02-24 11:14:45,Unknown,Virgin America,negative,1.0,3,1.0
570300767074181121,jnardino,2015-02-24 11:14:33,Unknown,Virgin America,negative,1.0,3,0.68
570300616901320704,cjmcginnis,2015-02-24 11:13:57,San Francisco CA,Virgin America,positive,0.67,0,0.0
570300248553349120,pilot,2015-02-24 11:12:29,Los Angeles,Virgin America,neutral,0.63,0,0.0
570299953286942721,dhepburn,2015-02-24 11:11:19,San Diego,Virgin America,positive,0.66,0,0.0
570295459631263746,YupitsTate,2015-02-24 10:53:27,Los Angeles,Virgin America,positive,1.0,0,0.0
570294189143031808,idk_but_youtube,2015-02-24 10:48:24,1/1 loner squad,Virgin America,neutral,0.68,0,0.0
570289724453216256,HyperCamiLax,2015-02-24 10:30:40,NYC,Virgin America,positive,1.0,0,0.0
570289584061480960,HyperCamiLax,2015-02-24 10:30:06,NYC,Virgin America,positive,1.0,0,0.0
570287408438120448,mollanderson,2015-02-24 10:21:28,Unknown,Virgin America,positive,0.65,0,0.0
570285904809598977,sjespers,2015-02-24 10:15:29,"San Francisco, CA",Virgin America,positive,1.0,0,0.0
570282469121007616,smartwatermelon,2015-02-24 10:01:50,"palo alto, ca",Virgin America,negative,0.68,2,0.37
570277724385734656,ItzBrianHunty,2015-02-24 09:42:59,west covina,Virgin America,positive,1.0,0,0.0
570276917301137409,heatherovieda,2015-02-24 09:39:46,this place called NYC,Virgin America,negative,1.0,6,1.0
570270684619923457,thebrandiray,2015-02-24 09:15:00,Somewhere celebrating life.,Virgin America,positive,1.0,0,0.0
570267956648792064,JNLpierce,2015-02-24 09:04:10,Boston | Waltham,Virgin America,positive,1.0,0,0.0
570265883513384960,MISSGJ,2015-02-24 08:55:56,Unknown,Virgin America,negative,0.67,3,0.36
570264145116819457,DT_Les,2015-02-24 08:49:01,Unknown,Virgin America,positive,1.0,0,0.0
570259420287868928,ElvinaBeck,2015-02-24 08:30:15,Los Angeles,Virgin America,positive,1.0,0,0.0
570258822297579520,rjlynch21086,2015-02-24 08:27:52,"Boston, MA",Virgin America,neutral,1.0,0,0.0
570256553502068736,ayeevickiee,2015-02-24 08:18:51,714,Virgin America,negative,1.0,1,0.36
570249102404923392,Leora13,2015-02-24 07:49:15,Unknown,Virgin America,negative,1.0,1,1.0
570239632807370753,meredithjlynn,2015-02-24 07:11:37,Unknown,Virgin America,negative,1.0,3,0.66
570217831557677057,AdamSinger,2015-02-24 05:44:59,"San Francisco, CA",Virgin America,neutral,0.69,0,0.0
570207886493782019,blackjackpro911,2015-02-24 05:05:28,"San Mateo, CA & Las Vegas, NV",Virgin America,negative,1.0,6,1.0
570124596180955136,TenantsUpstairs,2015-02-23 23:34:30,Brooklyn,Virgin America,neutral,0.62,0,0.0
570114021854212096,jordanpichler,2015-02-23 22:52:29,Unknown,Virgin America,negative,1.0,7,1.0
570094701371469825,JCervantezzz,2015-02-23 21:35:43,"California, San Francisco",Virgin America,neutral,1.0,0,0.0
570088404156698625,Cuschoolie1,2015-02-23 21:10:41,Washington DC,Virgin America,negative,1.0,1,1.0
570084582780899328,amanduhmccarty,2015-02-23 20:55:30,Unknown,Virgin America,negative,1.0,1,1.0
570076792993611776,NorthTxHomeTeam,2015-02-23 20:24:33,Texas,Virgin America,positive,1.0,0,0.0
570051991277342720,miaerolinea,2015-02-23 18:46:00,Worldwide,Virgin America,neutral,0.62,0,0.0
570051381534396416,Nicsplace,2015-02-23 18:43:35,Central Texas,Virgin America,positive,1.0,0,0.0
